Iguanodon, Europe, 125, Ornithopod, https://en.wikipedia.org/wiki/Iguanodon
Jeholosaurus, E-Asia, 130, Ornithopod, https://en.wikipedia.org/wiki/Jeholosaurus
Kentrosaurus, Africa, 155, Stegosaur, https://en.wikipedia.org/wiki/Kentrosaurus
Kosmoceratops, N-America, 75, Ceratopsian, https://en.wikipedia.org/wiki/Kosmoceratops
Lambeosaurus, N-America, 75, Ornithopod-hadrosaur, https://en.wikipedia.org/wiki/Lambeosaurus 
Lophostropheus, Europe, 200, Therapod, https://en.wikipedia.org/wiki/Lophostropheus
Maiasaura, N-America, 75, Ornithopod-hadrosaur, https://en.wikipedia.org/wiki/Maiasaura
Majungasaurus, Africa, 65, Therapod-abelisaur, https://en.wikipedia.org/wiki/Majungasaurus
Mamenchisaurus, E-Asia, 160, Sauropod, https://en.wikipedia.org/wiki/Mamenchisaurus
Masiakasaurus, Africa, 70, Therapod-abelisaur, https://en.wikipedia.org/wiki/Masiakasaurus
Massospondylus, Africa, 185, Sauropod-prosauropod, https://en.wikipedia.org/wiki/Massospondylus
Megalosaurus, Europe, 165, Therapod, https://en.wikipedia.org/wiki/Megalosaurus
Mendozasaurus, S-America, 85, Sauropod, https://en.wikipedia.org/wiki/Mendozasaurus
Minmi, Australia, 115, Ankylosaur, https://en.wikipedia.org/wiki/Minmi_(dinosaur)
Monolophosaurus, E-Asia, 165, Therapod-carnosaur, https://en.wikipedia.org/wiki/Monolophosaurus
Muttaburrasaurus, Australia, 110, Ornithopod, https://en.wikipedia.org/wiki/Muttaburrasaurus 
Neovenator, Europe, 125, Therapod-carnosaur, https://en.wikipedia.org/wiki/Neovenator
Neuquensaurus, S-America, 70, Sauropod-titanosaur, https://en.wikipedia.org/wiki/Neuquensaurus
Nigersaurus, Africa, 110, Sauropod, https://en.wikipedia.org/wiki/Nigersaurus
Ornitholestes, N-America, 155, Therapod, https://en.wikipedia.org/wiki/Ornitholestes
Ouranosaurus, Africa, 120, Ornithopod, https://en.wikipedia.org/wiki/Ouranosaurus
Oviraptor, E-Asia, 75, Therapod, https://en.wikipedia.org/wiki/Oviraptor
Pachycephalosaurus, N-America, 65, Ornithopod-pachyceph, https://en.wikipedia.org/wiki/Pachycephalosaurus
Pachyrhinosaurus, N-America, 70, Ceratopsian, https://en.wikipedia.org/wiki/Pachyrhinosaurus
Paralititan, Africa, 95, Sauropod, https://en.wikipedia.org/wiki/Paralititan
Parasaurolophus, N-America, 75, Ornithopod-hadrosaur, https://en.wikipedia.org/wiki/Parasaurolophus
Phuwiangosaurus, E-Asia, 120, Sauropod-titanosaur, https://en.wikipedia.org/wiki/Phuwiangosaurus
Pinacosaurus, E-Asia, 80, Ankylosaur, https://en.wikipedia.org/wiki/Pinacosaurus
Plateosaurus, Europe, 220, Sauropod-prosauropod, https://en.wikipedia.org/wiki/Plateosaurus
Polacanthus, Europe, 125, Ankylosaur, https://en.wikipedia.org/wiki/Polacanthus
Protoceratops, E-Asia, 75, Ceratopsian, https://en.wikipedia.org/wiki/Protoceratops
Psittacosaurus, E-Asia, 120, Ceratopsian, https://en.wikipedia.org/wiki/Psittacosaurus
Rajasaurus, E-Asia, 70, Therapod-abelisaur, https://en.wikipedia.org/wiki/Rajasaurus
Rapetosaurus, Africa, 70, Sauropod-titanosaur, https://en.wikipedia.org/wiki/Rapetosaurus
Riojasaurus, S-America, 215, Sauropod-prosauropod, https://en.wikipedia.org/wiki/Riojasaurus
Saltasaurus, S-America, 75, Sauropod-titanosaur, https://en.wikipedia.org/wiki/Saltasaurus
Saurornitholestes, N-America, 75, Therapod-raptor, https://en.wikipedia.org/wiki/Saurornitholestes
Scelidosaurus, Europe, 190, Ankylosaur, https://en.wikipedia.org/wiki/Scelidosaurus
Scolosaurus, N-America, 75, Ankylosaur, https://en.wikipedia.org/wiki/Scolosaurus
Scutellosaurus, N-America, 195, Ankylosaur, https://en.wikipedia.org/wiki/Scutellosaurus
Secernosaurus, S-America, 70, Ornithopod-hadrosaur, https://en.wikipedia.org/wiki/Secernosaurus
Sinosauropteryx, E-Asia, 120, Therapod, https://en.wikipedia.org/wiki/Sinosauropteryx
Sinraptor, E-Asia, 160, Therapod, https://en.wikipedia.org/wiki/Sinraptor
Spinosaurus, Africa, 95, Therapod, https://en.wikipedia.org/wiki/Spinosaurus
Stegosaurus, N-America, 155, Stegosaur, https://en.wikipedia.org/wiki/Stegosaurus
Struthiomimus, N-America, 65, Therapod-mimic, https://en.wikipedia.org/wiki/Struthiomimus
Stygimoloch, N-America, 65, Ornithopod-pachyceph, https://en.wikipedia.org/wiki/Stygimoloch
Styracosaurus, N-America, 75, Ceratopsian, https://en.wikipedia.org/wiki/Styracosaurus 
Supersaurus, N-America, 155, Sauropod, https://en.wikipedia.org/wiki/Supersaurus
Tarbosaurus, E-Asia, 70, Therapod-tyrannosaur, https://en.wikipedia.org/wiki/Tarbosaurus
Teratophoneus, N-America, 75, Therapod-tyrannosaur, https://en.wikipedia.org/wiki/Teratophoneus
Thecodontosaurus, Europe, 200, Sauropod-prosauropod, https://en.wikipedia.org/wiki/Thecodontosaurus
Torosaurus, N-America, 65, Ceratopsian, https://en.wikipedia.org/wiki/Torosaurus
Triceratops, N-America, 65, Ceratopsian, https://en.wikipedia.org/wiki/Triceratops
Tsintaosaurus, E-Asia, 75, Ornithopod, https://en.wikipedia.org/wiki/Tsintaosaurus
Tyrannosaurus, N-America, 65, Therapod-tyrannosaur, https://en.wikipedia.org/wiki/Tyrannosaurus
Tyrannotitan, S-America, 115, Therapod-carnosaur, https://en.wikipedia.org/wiki/Tyrannotitan
Utahraptor, N-America, 125, Therapod-raptor, https://en.wikipedia.org/wiki/Utahraptor
Velociraptor, E-Asia, 75, Therapod-raptor, https://en.wikipedia.org/wiki/Velociraptor
Wuerhosaurus, E-Asia, 130, Stegosaur, https://en.wikipedia.org/wiki/Wuerhosaurus
Yangchuanosaurus, E-Asia, 165, Therapod, https://en.wikipedia.org/wiki/Yangchuanosaurus
Zuniceratops, N-America, 90, Ceratopsian, https://en.wikipedia.org/wiki/Zuniceratops
